date,store_code,sku,category,on_hand_units,reorder_point,unit_cost_php
2026-04-04,CDO-02,Bread Loaf 300g,Bakery,49,40,94.52
2026-04-04,CDO-02,Fresh Milk 1L,Dairy,74,35,14.94
2026-04-04,CDO-02,Instant Noodles,Dry Goods,60,60,102.0
2026-04-04,CDO-02,Bottled Water 500ml,Beverage,105,50,189.36
2026-04-04,CDO-02,Canned Goods Mix,Dry Goods,22,45,153.36
2026-04-04,CDO-02,Rice 5kg,Dry Goods,33,25,215.3
2026-04-04,CDO-02,Egg Tray,Dairy,20,20,92.41
2026-04-04,CDO-02,Coffee Sachets,Beverage,53,80,33.9
2026-04-04,CDO-02,Soft Drinks 1.5L,Beverage,105,55,104.4
2026-04-04,CDO-02,Instant Coffee 3-in-1,Beverage,109,70,144.04
2026-04-04,CDO-02,Cup Noodles,Dry Goods,93,65,12.53
2026-04-04,CDO-02,Sandwich Bread,Bakery,54,30,59.64
2026-04-04,CDO-03,Bread Loaf 300g,Bakery,22,40,127.69
2026-04-04,CDO-03,Fresh Milk 1L,Dairy,15,35,170.21
2026-04-04,CDO-03,Instant Noodles,Dry Goods,42,60,53.78
2026-04-04,CDO-03,Bottled Water 500ml,Beverage,98,50,77.65
2026-04-04,CDO-03,Canned Goods Mix,Dry Goods,26,45,198.91
2026-04-04,CDO-03,Rice 5kg,Dry Goods,8,25,189.98
2026-04-04,CDO-03,Egg Tray,Dairy,11,20,35.56
2026-04-04,CDO-03,Coffee Sachets,Beverage,62,80,44.99
2026-04-04,CDO-03,Soft Drinks 1.5L,Beverage,86,55,13.47
2026-04-04,CDO-03,Instant Coffee 3-in-1,Beverage,23,70,175.48
2026-04-04,CDO-03,Cup Noodles,Dry Goods,49,65,76.64
2026-04-04,CDO-03,Sandwich Bread,Bakery,19,30,19.11
2026-04-04,CDO-04,Bread Loaf 300g,Bakery,68,40,119.53
2026-04-04,CDO-04,Fresh Milk 1L,Dairy,60,35,108.96
2026-04-04,CDO-04,Instant Noodles,Dry Goods,107,60,116.81
2026-04-04,CDO-04,Bottled Water 500ml,Beverage,25,50,114.81
2026-04-04,CDO-04,Canned Goods Mix,Dry Goods,94,45,17.19
2026-04-04,CDO-04,Rice 5kg,Dry Goods,45,25,191.8
2026-04-04,CDO-04,Egg Tray,Dairy,26,20,105.11
2026-04-04,CDO-04,Coffee Sachets,Beverage,171,80,20.89
2026-04-04,CDO-04,Soft Drinks 1.5L,Beverage,67,55,93.14
2026-04-04,CDO-04,Instant Coffee 3-in-1,Beverage,112,70,111.94
2026-04-04,CDO-04,Cup Noodles,Dry Goods,132,65,23.58
2026-04-04,CDO-04,Sandwich Bread,Bakery,14,30,136.96
2026-04-04,CDO-05,Bread Loaf 300g,Bakery,17,40,66.3
2026-04-04,CDO-05,Fresh Milk 1L,Dairy,53,35,124.25
2026-04-04,CDO-05,Instant Noodles,Dry Goods,55,60,218.86
2026-04-04,CDO-05,Bottled Water 500ml,Beverage,65,50,104.19
2026-04-04,CDO-05,Canned Goods Mix,Dry Goods,65,45,29.03
2026-04-04,CDO-05,Rice 5kg,Dry Goods,41,25,188.79
2026-04-04,CDO-05,Egg Tray,Dairy,31,20,171.02
2026-04-04,CDO-05,Coffee Sachets,Beverage,134,80,53.58
2026-04-04,CDO-05,Soft Drinks 1.5L,Beverage,64,55,56.44
2026-04-04,CDO-05,Instant Coffee 3-in-1,Beverage,66,70,104.14
2026-04-04,CDO-05,Cup Noodles,Dry Goods,71,65,28.16
2026-04-04,CDO-05,Sandwich Bread,Bakery,33,30,149.0
2026-04-04,CDO-06,Bread Loaf 300g,Bakery,40,40,40.36
2026-04-04,CDO-06,Fresh Milk 1L,Dairy,72,35,22.23
2026-04-04,CDO-06,Instant Noodles,Dry Goods,113,60,27.76
2026-04-04,CDO-06,Bottled Water 500ml,Beverage,24,50,164.62
2026-04-04,CDO-06,Canned Goods Mix,Dry Goods,83,45,125.95
2026-04-04,CDO-06,Rice 5kg,Dry Goods,35,25,127.06
2026-04-04,CDO-06,Egg Tray,Dairy,19,20,33.91
2026-04-04,CDO-06,Coffee Sachets,Beverage,78,80,149.05
2026-04-04,CDO-06,Soft Drinks 1.5L,Beverage,95,55,192.04
2026-04-04,CDO-06,Instant Coffee 3-in-1,Beverage,117,70,213.3
2026-04-04,CDO-06,Cup Noodles,Dry Goods,94,65,82.55
2026-04-04,CDO-06,Sandwich Bread,Bakery,42,30,53.1
2026-04-07,CDO-01,Bread Loaf 300g,Bakery,62,40,55.54
2026-04-07,CDO-01,Fresh Milk 1L,Dairy,18,35,187.22
2026-04-07,CDO-01,Instant Noodles,Dry Goods,60,60,169.67
2026-04-07,CDO-01,Bottled Water 500ml,Beverage,70,50,179.13
2026-04-07,CDO-01,Canned Goods Mix,Dry Goods,86,45,214.6
2026-04-07,CDO-01,Rice 5kg,Dry Goods,46,25,138.08
2026-04-07,CDO-01,Egg Tray,Dairy,30,20,13.57
2026-04-07,CDO-01,Coffee Sachets,Beverage,165,80,183.85
2026-04-07,CDO-01,Soft Drinks 1.5L,Beverage,44,55,46.25
2026-04-07,CDO-01,Instant Coffee 3-in-1,Beverage,114,70,73.5
2026-04-07,CDO-01,Cup Noodles,Dry Goods,61,65,9.29
2026-04-07,CDO-01,Sandwich Bread,Bakery,59,30,128.06
2026-04-07,CDO-02,Bread Loaf 300g,Bakery,42,40,38.08
2026-04-07,CDO-02,Fresh Milk 1L,Dairy,53,35,14.5
2026-04-07,CDO-02,Instant Noodles,Dry Goods,103,60,53.61
2026-04-07,CDO-02,Bottled Water 500ml,Beverage,55,50,80.27
2026-04-07,CDO-02,Canned Goods Mix,Dry Goods,45,45,160.98
2026-04-07,CDO-02,Rice 5kg,Dry Goods,44,25,128.33
2026-04-07,CDO-02,Egg Tray,Dairy,9,20,19.15
2026-04-07,CDO-02,Coffee Sachets,Beverage,48,80,138.98
2026-04-07,CDO-02,Soft Drinks 1.5L,Beverage,87,55,65.69
2026-04-07,CDO-02,Instant Coffee 3-in-1,Beverage,109,70,110.96
2026-04-07,CDO-02,Cup Noodles,Dry Goods,74,65,65.91
2026-04-07,CDO-02,Sandwich Bread,Bakery,52,30,32.13
2026-04-07,CDO-03,Bread Loaf 300g,Bakery,45,40,68.05
2026-04-07,CDO-03,Fresh Milk 1L,Dairy,56,35,111.17
2026-04-07,CDO-03,Instant Noodles,Dry Goods,94,60,17.63
2026-04-07,CDO-03,Bottled Water 500ml,Beverage,53,50,135.06
2026-04-07,CDO-03,Canned Goods Mix,Dry Goods,14,45,71.9
2026-04-07,CDO-03,Rice 5kg,Dry Goods,18,25,37.09
2026-04-07,CDO-03,Egg Tray,Dairy,16,20,77.56
2026-04-07,CDO-03,Coffee Sachets,Beverage,25,80,166.37
2026-04-07,CDO-03,Soft Drinks 1.5L,Beverage,35,55,88.6
2026-04-07,CDO-03,Instant Coffee 3-in-1,Beverage,115,70,114.06
2026-04-07,CDO-03,Cup Noodles,Dry Goods,122,65,178.91
2026-04-07,CDO-03,Sandwich Bread,Bakery,13,30,190.69
2026-04-07,CDO-04,Bread Loaf 300g,Bakery,15,40,11.97
2026-04-07,CDO-04,Fresh Milk 1L,Dairy,72,35,190.77
2026-04-07,CDO-04,Instant Noodles,Dry Goods,84,60,129.56
2026-04-07,CDO-04,Bottled Water 500ml,Beverage,82,50,96.55
2026-04-07,CDO-04,Canned Goods Mix,Dry Goods,23,45,12.42
2026-04-07,CDO-04,Rice 5kg,Dry Goods,23,25,177.88
2026-04-07,CDO-04,Egg Tray,Dairy,29,20,184.39
2026-04-07,CDO-04,Coffee Sachets,Beverage,164,80,26.68
2026-04-07,CDO-04,Soft Drinks 1.5L,Beverage,105,55,59.58
2026-04-07,CDO-04,Instant Coffee 3-in-1,Beverage,99,70,119.08
2026-04-07,CDO-04,Cup Noodles,Dry Goods,68,65,73.78
2026-04-07,CDO-04,Sandwich Bread,Bakery,28,30,78.61
2026-04-07,CDO-05,Bread Loaf 300g,Bakery,25,40,116.22
2026-04-07,CDO-05,Fresh Milk 1L,Dairy,18,35,116.11
2026-04-07,CDO-05,Instant Noodles,Dry Goods,121,60,82.07
2026-04-07,CDO-05,Bottled Water 500ml,Beverage,84,50,181.62
2026-04-07,CDO-05,Canned Goods Mix,Dry Goods,83,45,58.09
2026-04-07,CDO-05,Rice 5kg,Dry Goods,14,25,49.82
2026-04-07,CDO-05,Egg Tray,Dairy,29,20,169.17
2026-04-07,CDO-05,Coffee Sachets,Beverage,124,80,45.55
2026-04-07,CDO-05,Soft Drinks 1.5L,Beverage,97,55,112.75
2026-04-07,CDO-05,Instant Coffee 3-in-1,Beverage,121,70,169.09
2026-04-07,CDO-05,Cup Noodles,Dry Goods,75,65,203.92
2026-04-07,CDO-05,Sandwich Bread,Bakery,41,30,142.68
2026-04-07,CDO-06,Bread Loaf 300g,Bakery,59,40,191.22
2026-04-07,CDO-06,Fresh Milk 1L,Dairy,52,35,40.0
2026-04-07,CDO-06,Instant Noodles,Dry Goods,26,60,101.75
2026-04-07,CDO-06,Bottled Water 500ml,Beverage,44,50,66.23
2026-04-07,CDO-06,Canned Goods Mix,Dry Goods,18,45,115.56
2026-04-07,CDO-06,Rice 5kg,Dry Goods,22,25,103.81
2026-04-07,CDO-06,Egg Tray,Dairy,8,20,184.32
2026-04-07,CDO-06,Coffee Sachets,Beverage,36,80,191.22
2026-04-07,CDO-06,Soft Drinks 1.5L,Beverage,106,55,138.38
2026-04-07,CDO-06,Instant Coffee 3-in-1,Beverage,88,70,106.09
2026-04-07,CDO-06,Cup Noodles,Dry Goods,88,65,175.87
2026-04-07,CDO-06,Sandwich Bread,Bakery,60,30,103.34
2026-04-10,CDO-01,Bread Loaf 300g,Bakery,74,40,146.19
2026-04-10,CDO-01,Fresh Milk 1L,Dairy,32,35,108.83
2026-04-10,CDO-01,Instant Noodles,Dry Goods,35,60,21.12
2026-04-10,CDO-01,Bottled Water 500ml,Beverage,25,50,198.61
2026-04-10,CDO-01,Canned Goods Mix,Dry Goods,43,45,159.43
2026-04-10,CDO-01,Rice 5kg,Dry Goods,31,25,44.58
2026-04-10,CDO-01,Egg Tray,Dairy,15,20,100.8
2026-04-10,CDO-01,Coffee Sachets,Beverage,91,80,118.82
2026-04-10,CDO-01,Soft Drinks 1.5L,Beverage,33,55,87.04
2026-04-10,CDO-01,Instant Coffee 3-in-1,Beverage,59,70,94.66
2026-04-10,CDO-01,Cup Noodles,Dry Goods,61,65,134.75
2026-04-10,CDO-01,Sandwich Bread,Bakery,54,30,145.23
2026-04-10,CDO-02,Bread Loaf 300g,Bakery,17,40,28.04
2026-04-10,CDO-02,Fresh Milk 1L,Dairy,56,35,68.24
2026-04-10,CDO-02,Instant Noodles,Dry Goods,101,60,147.19
2026-04-10,CDO-02,Bottled Water 500ml,Beverage,101,50,193.14
2026-04-10,CDO-02,Canned Goods Mix,Dry Goods,42,45,131.54
2026-04-10,CDO-02,Rice 5kg,Dry Goods,14,25,82.16
2026-04-10,CDO-02,Egg Tray,Dairy,43,20,156.08
2026-04-10,CDO-02,Coffee Sachets,Beverage,84,80,134.15
2026-04-10,CDO-02,Soft Drinks 1.5L,Beverage,115,55,73.63
2026-04-10,CDO-02,Instant Coffee 3-in-1,Beverage,71,70,175.83
2026-04-10,CDO-02,Cup Noodles,Dry Goods,120,65,150.06
2026-04-10,CDO-02,Sandwich Bread,Bakery,56,30,164.62
2026-04-10,CDO-03,Bread Loaf 300g,Bakery,64,40,119.6
2026-04-10,CDO-03,Fresh Milk 1L,Dairy,53,35,97.76
2026-04-10,CDO-03,Instant Noodles,Dry Goods,59,60,84.87
2026-04-10,CDO-03,Bottled Water 500ml,Beverage,32,50,53.41
2026-04-10,CDO-03,Canned Goods Mix,Dry Goods,95,45,111.09
2026-04-10,CDO-03,Rice 5kg,Dry Goods,18,25,37.16
2026-04-10,CDO-03,Egg Tray,Dairy,9,20,187.02
2026-04-10,CDO-03,Coffee Sachets,Beverage,39,80,171.43
2026-04-10,CDO-03,Soft Drinks 1.5L,Beverage,104,55,195.34
2026-04-10,CDO-03,Instant Coffee 3-in-1,Beverage,26,70,79.39
2026-04-10,CDO-03,Cup Noodles,Dry Goods,114,65,35.78
2026-04-10,CDO-03,Sandwich Bread,Bakery,30,30,42.4
2026-04-10,CDO-04,Bread Loaf 300g,Bakery,75,40,171.47
2026-04-10,CDO-04,Fresh Milk 1L,Dairy,64,35,43.09
2026-04-10,CDO-04,Instant Noodles,Dry Goods,68,60,95.1
2026-04-10,CDO-04,Bottled Water 500ml,Beverage,79,50,58.36
2026-04-10,CDO-04,Canned Goods Mix,Dry Goods,51,45,68.4
2026-04-10,CDO-04,Rice 5kg,Dry Goods,43,25,103.17
2026-04-10,CDO-04,Egg Tray,Dairy,26,20,73.61
2026-04-10,CDO-04,Coffee Sachets,Beverage,147,80,107.43
2026-04-10,CDO-04,Soft Drinks 1.5L,Beverage,104,55,85.98
2026-04-10,CDO-04,Instant Coffee 3-in-1,Beverage,147,70,216.7
2026-04-10,CDO-04,Cup Noodles,Dry Goods,77,65,67.74
2026-04-10,CDO-04,Sandwich Bread,Bakery,31,30,119.82
2026-04-10,CDO-05,Bread Loaf 300g,Bakery,85,40,181.18
2026-04-10,CDO-05,Fresh Milk 1L,Dairy,64,35,37.34
2026-04-10,CDO-05,Instant Noodles,Dry Goods,47,60,143.93
2026-04-10,CDO-05,Bottled Water 500ml,Beverage,98,50,125.56
2026-04-10,CDO-05,Canned Goods Mix,Dry Goods,22,45,187.33
2026-04-10,CDO-05,Rice 5kg,Dry Goods,48,25,68.43
2026-04-10,CDO-05,Egg Tray,Dairy,35,20,65.83
2026-04-10,CDO-05,Coffee Sachets,Beverage,162,80,39.24
2026-04-10,CDO-05,Soft Drinks 1.5L,Beverage,62,55,208.64
2026-04-10,CDO-05,Instant Coffee 3-in-1,Beverage,51,70,103.64
2026-04-10,CDO-05,Cup Noodles,Dry Goods,63,65,13.65
2026-04-10,CDO-05,Sandwich Bread,Bakery,12,30,114.43
2026-04-10,CDO-06,Bread Loaf 300g,Bakery,30,40,218.84
2026-04-10,CDO-06,Fresh Milk 1L,Dairy,35,35,13.98
2026-04-10,CDO-06,Instant Noodles,Dry Goods,124,60,185.91
2026-04-10,CDO-06,Bottled Water 500ml,Beverage,77,50,175.77
2026-04-10,CDO-06,Canned Goods Mix,Dry Goods,25,45,68.82
2026-04-10,CDO-06,Rice 5kg,Dry Goods,47,25,155.57
2026-04-10,CDO-06,Egg Tray,Dairy,11,20,157.57
2026-04-10,CDO-06,Coffee Sachets,Beverage,92,80,9.11
2026-04-10,CDO-06,Soft Drinks 1.5L,Beverage,25,55,62.26
2026-04-10,CDO-06,Instant Coffee 3-in-1,Beverage,132,70,124.35
2026-04-10,CDO-06,Cup Noodles,Dry Goods,109,65,119.89
2026-04-10,CDO-06,Sandwich Bread,Bakery,15,30,69.08
2026-04-13,CDO-01,Bread Loaf 300g,Bakery,35,40,18.12
2026-04-13,CDO-01,Fresh Milk 1L,Dairy,38,35,176.31
2026-04-13,CDO-01,Instant Noodles,Dry Goods,70,60,31.5
2026-04-13,CDO-01,Bottled Water 500ml,Beverage,101,50,134.51
2026-04-13,CDO-01,Canned Goods Mix,Dry Goods,15,45,117.26
2026-04-13,CDO-01,Rice 5kg,Dry Goods,19,25,38.44
2026-04-13,CDO-01,Egg Tray,Dairy,22,20,138.34
2026-04-13,CDO-01,Coffee Sachets,Beverage,61,80,96.31
2026-04-13,CDO-01,Soft Drinks 1.5L,Beverage,86,55,26.15
2026-04-13,CDO-01,Instant Coffee 3-in-1,Beverage,151,70,22.35
2026-04-13,CDO-01,Cup Noodles,Dry Goods,84,65,115.55
2026-04-13,CDO-01,Sandwich Bread,Bakery,65,30,125.48
2026-04-13,CDO-02,Bread Loaf 300g,Bakery,42,40,107.67
2026-04-13,CDO-02,Fresh Milk 1L,Dairy,53,35,215.98
2026-04-13,CDO-02,Instant Noodles,Dry Goods,47,60,11.44
2026-04-13,CDO-02,Bottled Water 500ml,Beverage,90,50,81.1
2026-04-13,CDO-02,Canned Goods Mix,Dry Goods,76,45,141.19
2026-04-13,CDO-02,Rice 5kg,Dry Goods,44,25,163.86
2026-04-13,CDO-02,Egg Tray,Dairy,19,20,17.4
2026-04-13,CDO-02,Coffee Sachets,Beverage,107,80,180.46
2026-04-13,CDO-02,Soft Drinks 1.5L,Beverage,35,55,173.18
2026-04-13,CDO-02,Instant Coffee 3-in-1,Beverage,83,70,155.42
2026-04-13,CDO-02,Cup Noodles,Dry Goods,98,65,180.04
2026-04-13,CDO-02,Sandwich Bread,Bakery,13,30,172.55
2026-04-13,CDO-03,Bread Loaf 300g,Bakery,47,40,70.21
2026-04-13,CDO-03,Fresh Milk 1L,Dairy,13,35,50.29
2026-04-13,CDO-03,Instant Noodles,Dry Goods,23,60,205.87
2026-04-13,CDO-03,Bottled Water 500ml,Beverage,64,50,217.69
2026-04-13,CDO-03,Canned Goods Mix,Dry Goods,60,45,61.7
2026-04-13,CDO-03,Rice 5kg,Dry Goods,43,25,48.51
2026-04-13,CDO-03,Egg Tray,Dairy,20,20,173.54
2026-04-13,CDO-03,Coffee Sachets,Beverage,156,80,78.37
2026-04-13,CDO-03,Soft Drinks 1.5L,Beverage,30,55,86.02
2026-04-13,CDO-03,Instant Coffee 3-in-1,Beverage,139,70,165.58
2026-04-13,CDO-03,Cup Noodles,Dry Goods,130,65,89.97
2026-04-13,CDO-03,Sandwich Bread,Bakery,65,30,113.2
2026-04-13,CDO-04,Bread Loaf 300g,Bakery,50,40,203.95
2026-04-13,CDO-04,Fresh Milk 1L,Dairy,45,35,177.84
2026-04-13,CDO-04,Instant Noodles,Dry Goods,101,60,24.73
2026-04-13,CDO-04,Bottled Water 500ml,Beverage,72,50,182.34
2026-04-13,CDO-04,Canned Goods Mix,Dry Goods,60,45,76.1
2026-04-13,CDO-04,Rice 5kg,Dry Goods,11,25,148.11
2026-04-13,CDO-04,Egg Tray,Dairy,18,20,135.76
2026-04-13,CDO-04,Coffee Sachets,Beverage,89,80,154.23
2026-04-13,CDO-04,Soft Drinks 1.5L,Beverage,53,55,16.98
2026-04-13,CDO-04,Instant Coffee 3-in-1,Beverage,137,70,82.74
2026-04-13,CDO-04,Cup Noodles,Dry Goods,143,65,66.21
2026-04-13,CDO-04,Sandwich Bread,Bakery,65,30,208.96
2026-04-13,CDO-05,Bread Loaf 300g,Bakery,18,40,143.15
2026-04-13,CDO-05,Fresh Milk 1L,Dairy,35,35,177.83
2026-04-13,CDO-05,Instant Noodles,Dry Goods,95,60,209.99
2026-04-13,CDO-05,Bottled Water 500ml,Beverage,29,50,136.81
2026-04-13,CDO-05,Canned Goods Mix,Dry Goods,80,45,15.38
2026-04-13,CDO-05,Rice 5kg,Dry Goods,11,25,173.05
2026-04-13,CDO-05,Egg Tray,Dairy,20,20,89.17
2026-04-13,CDO-05,Coffee Sachets,Beverage,110,80,136.28
2026-04-13,CDO-05,Soft Drinks 1.5L,Beverage,87,55,209.15
2026-04-13,CDO-05,Instant Coffee 3-in-1,Beverage,70,70,169.77
2026-04-13,CDO-05,Cup Noodles,Dry Goods,90,65,120.25
2026-04-13,CDO-05,Sandwich Bread,Bakery,32,30,145.71
2026-04-13,CDO-06,Bread Loaf 300g,Bakery,31,40,32.05
2026-04-13,CDO-06,Fresh Milk 1L,Dairy,59,35,113.8
2026-04-13,CDO-06,Instant Noodles,Dry Goods,62,60,127.07
2026-04-13,CDO-06,Bottled Water 500ml,Beverage,40,50,63.18
2026-04-13,CDO-06,Canned Goods Mix,Dry Goods,52,45,219.23
2026-04-13,CDO-06,Rice 5kg,Dry Goods,21,25,202.29
2026-04-13,CDO-06,Egg Tray,Dairy,25,20,34.0
2026-04-13,CDO-06,Coffee Sachets,Beverage,154,80,103.83
2026-04-13,CDO-06,Soft Drinks 1.5L,Beverage,110,55,102.36
2026-04-13,CDO-06,Instant Coffee 3-in-1,Beverage,33,70,152.57
2026-04-13,CDO-06,Cup Noodles,Dry Goods,124,65,75.75
2026-04-13,CDO-06,Sandwich Bread,Bakery,29,30,21.77
2026-04-16,CDO-01,Bread Loaf 300g,Bakery,53,40,196.96
2026-04-16,CDO-01,Fresh Milk 1L,Dairy,67,35,158.9
2026-04-16,CDO-01,Instant Noodles,Dry Goods,124,60,143.19
2026-04-16,CDO-01,Bottled Water 500ml,Beverage,90,50,115.86
2026-04-16,CDO-01,Canned Goods Mix,Dry Goods,24,45,50.61
2026-04-16,CDO-01,Rice 5kg,Dry Goods,14,25,175.56
2026-04-16,CDO-01,Egg Tray,Dairy,7,20,125.45
2026-04-16,CDO-01,Coffee Sachets,Beverage,80,80,178.38
2026-04-16,CDO-01,Soft Drinks 1.5L,Beverage,74,55,137.73
2026-04-16,CDO-01,Instant Coffee 3-in-1,Beverage,32,70,73.57
2026-04-16,CDO-01,Cup Noodles,Dry Goods,143,65,160.4
2026-04-16,CDO-01,Sandwich Bread,Bakery,39,30,171.06
2026-04-16,CDO-02,Bread Loaf 300g,Bakery,75,40,23.64
2026-04-16,CDO-02,Fresh Milk 1L,Dairy,75,35,144.18
2026-04-16,CDO-02,Instant Noodles,Dry Goods,69,60,152.18
2026-04-16,CDO-02,Bottled Water 500ml,Beverage,48,50,194.13
2026-04-16,CDO-02,Canned Goods Mix,Dry Goods,80,45,143.64
2026-04-16,CDO-02,Rice 5kg,Dry Goods,16,25,212.85
2026-04-16,CDO-02,Egg Tray,Dairy,22,20,201.07
2026-04-16,CDO-02,Coffee Sachets,Beverage,32,80,34.32
